id,listing_url,scrape_id,host_id,host_name,host_response_rate,host_is_superhost,host_listings_count,host_total_listings_count,city,state,zipcode,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,cancellation_policy,calculated_host_listings_count,reviews_per_month
19692555,https://www.airbnb.com/rooms/19692555,2.0171E+13,487413,Allison,100%,f,1,1,Brooklyn,NY,11211,Apartment,Entire home/apt,3,1,0,2,Real Bed,$100.00 ,,,$0.00 ,$75.00 ,1,$0.00 ,5,100,10,10,10,10,10,10,moderate,1,2.17
7998650,https://www.airbnb.com/rooms/7998650,2.0171E+13,3767858,Liz,100%,f,1,1,Brooklyn,NY,11211,Apartment,Private room,1,1,1,1,Real Bed,$70.00 ,$350.00 ,,$0.00 ,$10.00 ,1,$0.00 ,7,77,8,7,10,9,9,8,strict,1,0.27
1919896,https://www.airbnb.com/rooms/1919896,2.0171E+13,1345452,Nico,,f,1,1,Brooklyn,NY,11238,Apartment,Entire home/apt,5,1,2,3,Real Bed,$150.00 ,$875.00 ,"$2,750.00 ",,$50.00 ,4,$20.00 ,11,95,9,9,9,9,9,9,strict,1,0.24
571564,https://www.airbnb.com/rooms/571564,2.0171E+13,1141935,Ana,100%,f,3,3,Brooklyn,NY,11216,House,Private room,2,,1,1,Real Bed,$85.00 ,$400.00 ,"$1,460.00 ",,,1,$50.00 ,98,91,9,9,9,9,8,9,strict,3,1.58
1672977,https://www.airbnb.com/rooms/1672977,2.0171E+13,2119276,Host,98%,f,39,39,New York,NY,10019,Apartment,Entire home/apt,6,1,2,3,Real Bed,$300.00 ,,"$6,500.00 ","$1,000.00 ",$185.00 ,4,$25.00 ,8,88,10,9,10,10,9,9,strict,16,0.3
7858169,https://www.airbnb.com/rooms/7858169,2.0171E+13,3867951,Urs,,f,1,1,New York,NY,10038,Loft,Entire home/apt,3,1,1,2,Real Bed,$280.00 ,"$1,760.00 ","$5,600.00 ",$300.00 ,$40.00 ,1,$0.00 ,0,,,,,,,,strict,1,
9341085,https://www.airbnb.com/rooms/9341085,2.0171E+13,27175572,Susanne,100%,f,3,3,Brooklyn,NY,11217,Townhouse,Private room,2,1,1,1,Real Bed,$100.00 ,,,,$40.00 ,1,$20.00 ,53,98,10,10,10,10,10,10,moderate,3,2.42
21111688,https://www.airbnb.com/rooms/21111688,2.0171E+13,152248425,Naya,,f,1,1,Brooklyn,NY,11221,Apartment,Private room,2,1,1,1,Real Bed,$85.00 ,,,$0.00 ,$35.00 ,1,$0.00 ,0,,,,,,,,flexible,1,
18834096,https://www.airbnb.com/rooms/18834096,2.0171E+13,20484832,Julia,100%,f,1,1,New York,NY,10019,Apartment,Entire home/apt,4,1,1,2,Real Bed,$182.00 ,,,$200.00 ,$60.00 ,1,$0.00 ,1,100,10,10,10,10,10,10,flexible,1,1
18393354,https://www.airbnb.com/rooms/18393354,2.0171E+13,2845,Jennifer,74%,f,3,3,New York,NY,10018,Apartment,Shared room,1,1,1,1,Real Bed,$99.00 ,,,$350.00 ,$50.00 ,1,$50.00 ,0,,,,,,,,strict,2,
